,sentence1,sentence2,genre,English_label,translation1,translation2,annotator 1 labels,annotator 2 labels
324,This leads to ...,This precedes...,slate,entailment,זה מוביל ל...,זה קודם ל...,Contradiction,Contradiction
325,"Viral plagues such as smallpox, polio, measles, hepatitis B, rabies, and other once-terrifying scourges have only been beaten back by vaccines.","Viral plagues like smallpox, polio and hepatitis B have never been beaten by vaccines.",slate,contradiction,"מגפות ויראליות כמו אבעבועות שחורות, פוליו, חצבת, הפטיטיס B, כלבת ומגפות אחרות הובסו רק על ידי חיסונים.","מגפות ויראליות כמו אבעבועות שחורות, פוליו והפטיטיס B מעולם לא הובסו על ידי חיסונים.",Contradiction,Contradiction
326,"In the meantime, they don't tend to elevate discourse.","They don't try to elevate discourse in the meantime, said my friend.",slate,neutral,"בינתיים, הם לא נוטים להרים את רמתו של השיח.","הם לא מנסים להעלות את רמת השיח בינתיים, אמר חברי.",Entailment,Neutral
327,"The spelling employed in this article is from The Associated Press Stylebook and Libel Manual , Slate's guide in such matters.",Slate does not have a spelling guide for articles.,slate,contradiction,"האיות שנעשה שימוש בו במאמר זה הוא מתוך The Associated Press Stylebook and Libel Manual, המדריך של Slate בעניינים כאלה.",ל-Slate אין מדריך איות למאמרים.,Contradiction,Contradiction
328,"It's that even as a long-term thinker, he's thinking about the wrong things.",He is a successful long-term thinker who always focuses on the right projects.,slate,contradiction,"זה שגם כבעל חשיבה לטווח ארוך, הוא עדיין חושב על הדברים הלא נכונים.",הוא חושב לטווח ארוך מוצלח שמתמקד תמיד בפרויקטים הנכונים.,Contradiction,Contradiction
329,"I insist on knowing the names, on being interested only in books left ajar, like doors; I will not go looking for keys.",I prefer things that are straight-forward and accessible to me.,slate,neutral,"אני מתעקש לדעת את השמות, להתעניין רק בספרים שהושארו פתוחים, כמו דלתות; לא אצא בחיפושים אחר מפתחות.",אני מעדיף דברים שהם פשוטים ונגישים לי.,Neutral,Entailment
330,"As soon as I announced a uniform price of $5, my neighbor would announce a price of $4.",My neighbor always downgraded the price by $1 to $4.,slate,entailment,"ברגע שהודעתי על מחיר אחיד של 5 דולר, השכן שלי היה מודיע על מחיר של 4 דולר.",השכן שלי תמיד הוריד את המחיר בדולר אחד ל-4$.,Entailment,Neutral
331,Ninety-one percent of blacks (compared with 60 percent of whites) say they believe investigations into the allegations involving Clinton should 'stop now.,A higher percentage of whites than blacks want the Clinton investigation to stop now.,slate,contradiction,תשעים ואחת אחוז מהשחורים (לעומת שישים אחוז מהלבנים) אומרים שהם מאמינים שחקירת הטענות נגד קלינטון צריכות 'להיפסק עכשיו.,אחוז גבוה יותר של לבנים מאשר שחורים רוצים שהחקירה של קלינטון תיפסק עכשיו.,Contradiction,Contradiction
332,The home secretary asserted that most defendants demand jury trials for no good reason other than to delay proceedings.,"According to the home secretary, defendants cannot use a jury trial to delay proceedings.",slate,contradiction,שר הפנים טען שרוב הנאשמים דורשים משפטים בפני חבר מושבעים ללא שום סיבה טובה מלבד עיכוב ההליכים.,"על פי שר הפנים, נאשמים לא יכולים להשתמש במשפט בפני חבר מושבעים כדי לעכב הליכים.",Contradiction,Contradiction
333,"Anyway, what causes indifference to politics today is not drugs but politics, which seems less and less relevant to our lives.",Drugs don't cause an indifference to politics.,slate,entailment,"בכל מקרה, מה שגורם לאדישות כלפי פוליטיקה היום הוא לא סמים אלא פוליטיקה, שנראית פחות ופחות רלוונטית לחיינו.",סמים לא גורמים לאדישות כלפי פוליטיקה.,Neutral,Entailment
334,I want to use my successful background as an insider to change that.,I want to change the world.,slate,neutral,אני רוצה להשתמש ברזומה המוצלח שלי כגורם פנימי כדי לשנות זאת.,אני רוצה לשנות את העולם.,Neutral,Neutral
335,One need not be an expert in evolution or zoology to understand that pointing at dinner rather than catching it is not a successful evolutionary strategy.,You do not need to be an expert to know that pointing at dinner rather than catching it is not a successful evolutionary strategy.,slate,entailment,אין צורך להיות מומחה באבולוציה או בזואולוגיה כדי להבין שלהצביע על ארוחת הערב במקום לצוד אותה היא לא אסטרטגיה אבולוציונית מוצלחת.,אתה לא צריך להיות מומחה כדי לדעת שלהצביע על ארוחת ערב במקום לצוד אותה זו לא אסטרטגיה אבולוציונית מוצלחת.,Entailment,Entailment
336,"More to the point, is it considered impolite to not make the bed?",Is it impolite to leave an unmade bed?,slate,entailment,"יתרה מכך, האם זה נחשב לחוסר נימוס לא לסדר את המיטה?",האם זה לא מנומס להשאיר מיטה לא מסודרת?,Entailment,Entailment
337,"The most extreme version of this concept, called group selection, is Gaia, which suggests that all of life cooperates so as to ensure its continued survival.",The most extreme version of this concept is Gaia.,slate,entailment,"הגרסה הקיצונית ביותר של קונספט זה, הקרויה סלקציה קבוצתית, היא גאיה, המציעה שכל החיים משתפים פעולה כדי להבטיח את המשך קיומם.",הגרסה הקיצונית ביותר של קונספט זה היא גאיה.,Entailment,Entailment
338,Other reviewers place Fagles' work in the same league as Fitzgerald's and Lattimore's classic translations.,Some reviewers put Fagles' work in the league of Fitzgerald and Lattimore's works.,slate,entailment,מבקרים אחרים מציבים את עבודתו של פייגלס באותו מעמד עם התרגומים הקלאסיים של פיצג'רלד ושל לאטימור.,מבקרים אחדים מציבים את עבודתו של פייגלס באותו מעמד של עבודותיהם של פיצג'רלד ולאטימור.,Entailment,Entailment
339,Certainly not.,Definitely not.,slate,entailment,בהחלט לא.,בטח שלא.,Entailment,Entailment
340,An accompanying piece lauds several unspoiled hideaways--which will now undoubtedly be swamped with tourists.,"No hideaways were spoiled, they remained hidden.",slate,contradiction,קטע נלווה משבח כמה מקומות מסתור בתוליים - שעתה יוצפו בתיירים ללא ספק.,"כל מקומות המסתור נותרו בתוליים, הם נשארו מוסתרים.",Contradiction,Neutral
341,"I share your distaste for journalists talking about themselves, and I don't propose that we print our names every time we ask a question.",There are many journalists who don't talk about themselves at all.,slate,neutral,"אני שותף לתיעוב שלך כלפי עיתונאים שמדברים על עצמם, ואני לא מציע שנדפיס את שמותינו בכל פעם שאנחנו שואלים שאלה.",ישנם עיתונאים רבים שלא מדברים על עצמם כלל.,Neutral,Neutral
342,"But the real question Boaz begs is why the laws he thinks are necessary for society to function, including fair chunks of the U.S.",Boaz is asking a question about the law.,slate,entailment,"אבל השאלה האמיתית שבועז שואל היא מדוע החוקים שהוא חושב שהם הכרחיים לתפקוד החברה, כולל נתחים הוגנים של ארה""ב.",בועז שואל שאלה על החוק.,Entailment,Entailment
343,Bottomless Mug,A mug without a bottom.,slate,entailment,ספל ללא תחתית,ספל שאין לו תחתית.,Entailment,Entailment
344,"He says that Inglis would be a whisper in the Senate, a lame duck as soon as he took office.",He says that Ignlis would be a perfect candidate for the Senate.,slate,contradiction,"הוא אומר שאינגליס יהיה קול חלש בסנאט, ברווז צולע ברגע שייכנס לתפקיד.",הוא אומר שאיגנליס יהיה מועמד מושלם לסנאט.,Contradiction,Contradiction
345,"Increasingly, hospitals use cross coverage, in which a fresh resident covers patients for several other residents at night.",Hospitals only have nurses watch patients,slate,contradiction,"יותר ויותר, בתי חולים משתמשים בשיטת כיסוי צולב, שבמסגרתו רופא מתמחה חדש אחראי על מטופלים של כמה רופאים מתמחים אחרים בלילה.",בבתי חולים רק אחיות משגיחות על חולים,Contradiction,Neutral
346,Another way to do it would have been a look at the Whitney itself.,Looking at the Whitney was the smartest option.,slate,neutral,דרך נוספת לעשות זאת הייתה להסתכל על מוזיאון הוויטני עצמו.,להסתכל על מוזיאון הוויטני הייתה האפשרות החכמה ביותר.,Neutral,Neutral
347,c) Evidence of suborning perjury in the Kathleen Willey matter.,The matter was tried in court.,slate,neutral,ג) ראיות לשידול לשבועת שקר בעניין קתלין ווילי.,העניין הועמד לדין בבית המשפט.,Neutral,Neutral
348,"Private tutors, who cost up to $415 per hour, and $800 test-prep courses serve only the wealthiest, most overprivileged kids, thus undermining the idea that the SAT should level the playing field in college admissions.",The wealthiest kids do better on the SAT because they have access to private tutors and test-prep courses.,slate,neutral,"מורים פרטיים, שעולים עד 415 דולר לשעה, וקורסי הכנה למבחנים שעולים 800 דולר משרתים רק את הילדים העשירים ביותר, המיוחסים ביותר, ובכך פוגעים ברעיון שה-SAT אמור ליצור תנאים שווים לקבלה לקולג'.",הילדים העשירים ביותר מצליחים יותר במבחן ה-SAT בגלל שיש להם גישה למורים פרטיים ולקורסי הכנה למבחן.,Entailment,Entailment
349,a lifetime's,Of a lifetime,slate,entailment,למשך כל החיים,של חיים שלמים,Entailment,Entailment
350,"Or, as Tom Lehrer put  If you can't communicate, the least you can do is shut up.",Tom Lehrer uses this philosophy at home and in business.,slate,neutral,"או, כפי שטום לרהר הציג זאת אם אינך יכול לתקשר, המעט שאתה יכול לעשות הוא לשתוק.",טום לרהר משתמש בפילוסופיה הזו בבית ובעסקים.,Neutral,Neutral
351,Wet FGD retrofit technology generally provides a conservatively high estimate of most resources.,Wet FGD retrofit technology provides high estimates.,government,entailment,טכנולוגיות השבחת FGD רטובות מספקות באופן כללי הערכות גבוהות באופן שמרני של רוב המשאבים.,טכנולוגיות השבחת FGD מספקות הערכות גבוהות.,Entailment,Entailment
352,Twenty-four comments and 19 reply comments were received in response to the notice and the FCC responds to the comments and discusses the changes made to the proposed rule as a result of consideration of the comments.,The FCC ignored the comments and issued no responses,government,contradiction,עשרים וארבע הערות ותשע עשרה תגובות התקבלו במענה להודעה וה-FCC ענה לתגובות ודן בשינויים שנעשו לכלל המוצע כתוצאה מההתחשבות בהערות,ה-FCC התעלם מכל ההערות ולא ענה בכלל,Contradiction,Contradiction
353,John Erlenborn has been an adjunct professor at Georgetown University Law Center since 1994 and member of the Legal Services Corporation Board of Directors since 1996.,John Erlenborn is an average man who works for a gas station and is a member of AA.,government,contradiction,ג'ון ארלנבורן היה פרופסור עמית במרכז המשפטים של אוניברסיטת ג'ורג'טאון מאז 1994 וחבר במועצת המנהלים של תאגיד השירותים המשפטיים מאז 1996.,ג'ון ארלנבורן הוא אדם ממוצע שעובד בתחנת דלק והוא חבר באלכוהוליסטים אנונימיים.,Contradiction,Contradiction
354,"3. Section 6008 of the Federal Acquisition Streamlining Act of 1994, Public Law 103-355 (5 U.S.C.",Section 6008 of the Federal Acquisition Streamlining Act of 1994 is null.,government,contradiction,"סעיף 6008 לחוק ייעול הרכישות הפדרלי משנת 1994, חוק ציבורי 103-355 (5 U.S.C.",סעיף 6008 של חוק ייעול הרכישות הפדרליות משנת 1994 בטל.,Neutral,Neutral
355,"Therefore, emergency departments should have dedicated staff on-site who can provide interventions.",EDs don't need to have interventionists on staff.,government,contradiction,"לכן, למחלקות לרפואה דחופה צריכים להיות אנשי צוות ייעודיים נוכחים במקום כך שיוכלו לספק התערבויות.",למחלקות רפואה דחופה אין צורך במבצעי התערבויות בצוות.,Contradiction,Contradiction
356,"A second statewide forum took place in 1996, focusing on the needs of pro se litigants, with continuing follow-up from all participants.",In 1996 there was another forum that took place statewide.,government,entailment,"פורום ארצי שני התקיים ב-1996, שהתמקד בצרכים של אנשים המייצגים את עצמם משפטית, עם מעקב מתמשך מכל המשתתפים.",ב-1996 היה פורום נוסף שהתקיים ברחבי המדינה.,Neutral,Entailment
357,"To ensure that decisionmakers have useful, relevant, timely, and reliable information, leading finance organizations establish accountability goals that extend well beyond receiving an unqualified audit opinion.",Accountability goals are just getting an audit.,government,contradiction,"כדי להבטיח שמקבלי ההחלטות יקבלו מידע שימושי, רלוונטי, אמין, ומתקבל בזמן הנכון, ארגוני מימון מובילים קובעים יעדי אחריות שמשתרעים הרבה מעבר לקבלת ביקורת בלתי מוגבלת.",יעדי אחריות רק עוברים ביקורת,Contradiction,Contradiction
358,"In addition, the very nature of the information system creating the data allows opportunities for errors to be introduced by many people.",The information system's very nature allows for human error to be introduced at many points along its data path.,government,entailment,"בנוסף, האופי עצמו של מערכת המידע היוצרת את הנתונים מאפשר הזדמנויות להכנסת שגיאות על ידי אנשים רבים.",הטבע הבסיסי של מערכת המידע מאפשר להכניס שגיאות אנוש בנקודות רבות לאורך נתיב הנתונים שלה.,Entailment,Entailment
359,"Given that the two measures are roughly similar as a share of GDP, in this section we use the unified budget measure unless otherwise specified.",We use the unified budget measure in the next section as well.,government,neutral,"בהתחשב בכך ששני האמצעים דומים פחות או יותר כנתח מהתמ""ג, בסעיף זה אנו משתמשים באמצעי התקציב המאוחד אלא אם כן צוין אחרת.",אנו משתמשים במדד התקציב המאוחד גם בסעיף הבא.,Neutral,Neutral
360,"In addition, the specific key conditions and strategies described in this guide will provide insight when considering areas of future study.",This guide has material useful for future study.,government,entailment,"בנוסף, התנאים והאסטרטגיות המרכזיות הספציפיים המתוארים במדריך זה יספקו תובנות בעת שיקול תחומי מחקר עתידיים.",למדריך זה יש חומר שימושי ללימוד עתידי.,Entailment,Entailment
361,"Data provided by the supplier in October 2001 showed that less than 25 percent of the seekers were being manufactured properly the first time and the rest had to be reworked, on average, four times.",some of the seekers had to be reworked a few times.,government,entailment,"הנתונים שסיפק הספק באוקטובר 2001 הראו שפחות מ-25 אחוז מהמחפשים יוצרו כראוי בפעם הראשונה והשאר נאלצו לעבור עיבוד נוסף, בממוצע, ארבע פעמים.",חלק מהמחפשים נאלצו לעבור עיבוד מחדש מספר פעמים.,Entailment,Entailment
362,An electronic signature is a method of signing an electronic message that (1) identifies and authenticates a particular person as the source of the electronic message and (2) indicates such person's approval of the information contained in the electronic message.,An electronic signature is a method of signing an electronic message which authenticates a particular person as the source of the electronic message.,government,entailment,חתימה אלקטרונית היא שיטה לחתימה על הודעה אלקטרונית ש-(1) מזהה ומאמתת אדם מסוים כמקור ההודעה האלקטרונית ו-(2) מציינת את אישורו של אותו אדם למידע הכלול בהודעה האלקטרונית.,חתימה אלקטרונית היא שיטה לחתימה על הודעה אלקטרונית המאמתת אדם מסוים כמקור ההודעה האלקטרונית.,Entailment,Entailment
363,"Common sense tells us that the nation needs to save more when it has a healthy economy, sufficient resources to meet some current needs while still building our capacity for the future, and a relatively large workforce.",Work forces can be made larger by increasing population growth.,government,neutral,"השכל הישר אומר לנו שהמדינה צריכה לחסוך יותר כשהיא בעלת כלכלה בריאה, משאבים מספיקים כדי לענות על צרכים נוכחיים מסוימים תוך כדי בניית היכולת העתידיות שלנו, וכוח עבודה גדול יחסית.",ניתן להגדיל את כוח העבודה על ידי הגברת גידול האוכלוסייה.,Neutral,Neutral
364,"When she went to a courthouse to file a complaint against her landlord, she found the process so confusing that she gave up and went home.",Her landlord was being unfair to her so she went to court to file a complaint against them.,government,neutral,"כשהיא הלכה לבית המשפט כדי להגיש תלונה נגד בעל הבית שלה, היא מצאה את התהליך כל כך מבלבל שהיא התייאשה וחזרה הביתה.",בעל הבית שלה התייחס אליה בחוסר הוגנות ולכן היא הלכה לבית המשפט כדי להגיש תלונה נגדו.,Entailment,Neutral
365,The majority of the cases in Woodburn today are far simpler.,Most of the lawsuits in Woodburn have been more manageable in recent times.,government,entailment,רוב המקרים בוודבורן כיום פשוטים בהרבה.,את רוב התביעות בוודבורן קל יותר לנהל בזמנים האחרונים.,Entailment,Entailment
366,"While many banks continued to pay the same rates in 2001 that they paid in 2000, others reduced the rates they pay.",Some banks reduced the rates the pay while others haven't.,government,entailment,"בעוד שבנקים רבים המשיכו לשלם את אותם תעריפים בשנת 2001 ששילמו בשנת 2000, אחרים הפחיתו את התעריפים שהם משלמים.",כמה בנקים הפחיתו את התעריפים שהם משלמים בעוד שאחרים לא.,Entailment,Entailment
367,"Rather than depend on the personal interest of individual senior managers, two of the organizations we studied had established senior-level committees to ensure that information technology issues, including information security, received appropriate attention.",We decided to solely depend on the personal interest of senior managers.,government,contradiction,"במקום להסתמך על האינטרס האישי של מנהלים בכירים בודדים, שני הארגונים שבדקנו הקימו ועדות בכירות על מנת להבטיח שנושאי טכנולוגיית המידע, כולל אבטחת מידע, יקבלו תשומת לב הולמת.",החלטנו להסתמך אך ורק על האינטרס האישי של מנהלים בכירים.,Contradiction,Contradiction
368,"The current LSC reconfiguration standards, which are under review by the Task Force, are compiled and discussed in Section IV of this Special Report to Congress.",The LSC reconfiguration standards need to be added to this Special Report to Congress.,government,contradiction,"תקני התצורה מחדש הנוכחיים של LSC, הנמצאים בבחינה על ידי כוח המשימה, נאספו ונדונו בסעיף IV של דוח מיוחד זה לקונגרס.","יש להוסיף את תקני התצורה מחדש של LSC לדו""ח מיוחד זה לקונגרס.",Contradiction,Contradiction
369,"Some central groups relied heavily on technical assistance located in another organizational unit, while others had significant technical expertise among their own staff, and, thus, were much more involved in directly implementing and testing controls.",Groups did not require technical assistance.,government,contradiction,"חלק מהקבוצות המרכזיות הסתמכו במידה רבה על סיוע טכני הנמצא ביחידה ארגונית אחרת, בעוד שלאחרים הייתה מומחיות טכנית משמעותית בקרב צוות העובדים שלהם ולכן היו מעורבים הרבה יותר ביישום ובדיקת בקרה. ",הקבוצות לא נדרשו לסיוע טכני.,Contradiction,Contradiction
370,"Because every generation is in part responsible for the economy it passes on to the next, today's fiscal policy choices must be informed by the long-term.",Every generation can make a great economy.,government,neutral,"מכיוון שכל דור אחראי בחלקו לכלכלה שהוא מעביר לדור הבא, בחירות המדיניות הפיסקלית של היום חייבות להיות מושכלות על ידי הטווח הארוך.",כל דור יכול ליצור כלכלה מצוינת.,Neutral,Neutral
371,"Rule 28258 states that the Regulatory Flexibility Act is not applicable to this rule because the Commodity Credit Corporation (CCC), which funds this program and has issued this rule, is not required by 5 U.S.C.",Because the CCC issued the rule it is not applicable.,government,entailment,"כלל 28258 קובע שחוק הגמישות הרגולטורית לא חל על כלל זה מכיוון שחברת האשראי לסחורות (CCC), שמימנה את התוכנית הזו והוציאה את הכלל הזה, לא נדרשת על פי 5 U.S.C.",מכיוון שה-CCC הוציאה את הכלל הוא לא ישים.,Entailment,Entailment
372,"As such, it helps identify the areas most in need of corrective action and helps form a basis for determining how to allocate resources, human and monetary, to the problem areas.",Human and monetary resources are not enough to cover the needs of problem areas.,government,neutral,"ככזה, הוא עוזר לזהות את התחומים שזקוקים ביותר לפעולות מתקנות ועוזר ליצור בסיס לקביעת אופן הקצאת המשאבים, האנושיים והכספיים, לתחומי הבעיה.",משאבים אנושיים וכספיים אינם מספיקים כדי לכסות את צרכי אזורי הבעיה.,Contradiction,Neutral
373,Hospital admissions-Respiratory and Cardiovascular,No one is admitted to the hospital.,government,contradiction,אשפוזים בבית החולים - אשפוזים נשימתיים וקרדיווסקולריים,אף אחד לא מאושפז בבית החולים.,Contradiction,Contradiction
374,"In the U.S., most human exposure to mercury is the result of consumption of fish contaminated with methylmercury.",Fish contaminated with methylmercury has been consumed by people.,government,entailment,"בארה""ב, מרבית החשיפה האנושית לכספית היא תוצאה של צריכת דגים מזוהמים במתיל-הכספית.",אנשים צרכו דגים מזוהמים במתיל-כספית.,Entailment,Entailment
375,"However, OMB staff provided information during and at the conclusion of the review that was incorporated where appropriate.",Information provided by the OMB staff was incorporated where appropriate.,government,entailment,"עם זאת, צוות OMB סיפק מידע ששולב היכן שהיה מתאים הן במהלך הביקורת והן ובסיומה.",מידע שסופק על ידי צוות ה-OMB שולב היכן שהיה מתאים.,Entailment,Entailment
376,The analyses comply with the informational requirements of the sections including the classes of small entities subject to the requirement and alternatives considered to reduce to the burden on the small entities.,The requirements try to ease the burden on small entities.,government,entailment,"הניתוחים עומדים בדרישות המידע של הסעיפים, כולל סוגי היישויות הקטנות הכפופות לדרישה וחלופות שנשקלו כדי להפחית את הנטל על היישויות הקטנות.",הדרישות מנסות להקל את העומס על ישויות קטנות.,Entailment,Entailment
377,Merger expected to replace criticized office,The merger will create more offices.,government,contradiction,מיזוג צפוי להחליף את המשרד הנמצא תחת ביקורת,המיזוג ייצור משרדים נוספים.,Neutral,Neutral
378,Thus the vision and strategies suggested here must be seen and considered in the context of a series of dialogues on diversity that NLADA and LSC are holding throughout the year and in the context of the reports issued following those conversations.,The vision and strategies need to be considered to become more diverse in the clients they help with LSC.,government,neutral,"לפיכך, יש לראות את החזון והאסטרטגיות המוצעות כאן ולשקול אותם בהקשר של סדרת דיאלוגים על גיוון ש-NLADA ו-LSC מקיימים לאורך השנה ובהקשר של הדוחות שפורסמו לאחר השיחות האלה.",החזון והאסטרטגיות צריכות להילקח בחשבון כדי שיהיה יותר גיוון בלקוחות שהם עוזרים להם עם LSC.,Entailment,Neutral
379,"When the checks started showing up in mailboxes sometime after Christmas, many aid recipients were confused about why they got the windfall - and what to do with it.",Everyone knew what they were going to do with their checks.,government,contradiction,"כאשר הצ'קים החלו להופיע בתיבות הדואר זמן מה לאחר חג המולד, מקבלי סיוע רבים היו מבולבלים לגבי הסיבה שקיבלו את הרווח הלא צפוי - ומה לעשות איתו.",כל אחד ידע מה הוא הולך לעשות עם הצ'קים שלו.,Contradiction,Contradiction
380,"governments, including state insurance commissions, in drafting the rules to give the states considerable flexibility in complying with HIPAA.",Governments made it so that the states didn't have to hew too closely to HIPAA.,government,entailment,"ממשלות, כולל וועדות ביטוח מדינתיות, בניסוח הכללים כדי לתת למדינות גמישות ניכרת בעמידה ב-HIPAA. ",ממשלות גרמו לכך שהמדינות לא היו צריכות לקיים בקפדנות יתרה את כללי HIPAA.,Entailment,Neutral
381,A Reporter's Guide to GAO is available on GAO's Web site www.gao.gov.,The guide is available in hard copy only.,government,contradiction,מדריך ל-GAO זמין באתר של GAO בכתובת www.gao.gov,המדריך זמין בגרסה מודפסת בלבד.,Contradiction,Contradiction
382,control,No control,government,contradiction,שליטה,אין שליטה,Neutral,Contradiction
383,"I just didn't get the impression that they were really happy, Zucker said. ",Zucker said that he didn't think they were very happy.,government,entailment,"פשוט לא קיבלתי את הרושם שהם היו באמת שמחים, אמר צוקר. ",צוקר אמר שהוא לא חשב שהם היו כל כך שמחים.,Entailment,Entailment
384,"Broadband PCS licenses were auctioned for Blocks A,B, and C. No auction has been held for blocks D, E and F.",PCS licenses were exclusively auctioned off to blocks D and F but not A or B.,government,contradiction,"רשיונות פס-רחב הוצעו למכרז עבור בלוקים A,B ו-C. אף מכרז לא הוצע עבור בלוקים D,E ו-F.",רשיונות פס-רחב הוצעו בלעדית במכרז עבור בלוקים D ו-F אך לא עבור A או B.,Contradiction,Contradiction
385,"Prototype interventions that can reach the majority of problem drinkers, motivate them to change drinking patterns or enter appropriate treatment, and produce positive long-term outcomes should be introduced into several emergency settings of differing size and staff composition.",Protoype interventions that can reach the majority of problem drinkers cannot motivate them to change.,government,contradiction,"התערבויות אב טיפוס שיכולות להגיע לרוב האנשים הסובלים מבעיות שתייה, לדרבן אותם לשנות את דפוסי השתייה שלהם או להיכנס לטיפול מתאים, ולהפיק תוצאות חיוביות לטווח ארוך, צריכות להיות מופעלות במספר מצבי חירום הנבדלים בגודלם והרכב הצוות שבהם.",התערבויות אב טיפוס שיכולות להגיע לרוב הסובלים מבעיות שתייה לא יכולות לדרבן אותם להשתנות.,Contradiction,Contradiction
386,"Gilbert Casellas is currently the President and Chief Operating Officer of the Swarthmore Group, an Investment and Financial Advisory firm located in West Chester, Pennsylvania.",Gilbert Casellas works for the Swathmore Group.,government,entailment,"גילברט קסלס הוא כיום נשיא ומנכ""ל התפעול של קבוצת סוורת'מור, חברת השקעות וייעוץ פיננסי הממוקמת בווסט צ'סטר, פנסילבניה.",גילברט קסלס עובד עבור קבוצת סוואת'מור.,Entailment,Entailment
387,"Federal Mission Property, Plant, and Equipment",The property is bought from private citizens.,government,neutral,רכוש קבוע פדרלי,הנכס נרכש מאזרחים פרטיים.,Neutral,Neutral
388,"The program entered production, despite these producibility issues.",The managers wanted to rush the product to the market.,government,neutral,"התוכנית נכנסה לייצור, למרות בעיות ההפקה הללו.",המנהלים רצו לזרז את הוצאת המוצר לשוק.,Neutral,Neutral
389,"A problem could be any anomaly discovered during design, coding, testing, or implementation.",Problems are mostly found during the testing phase.,government,neutral,"בעיה יכולה להיות כל חריגה שנתגלתה במהלך עיצוב, קידוד, בדיקה או יישום.",בעיות נמצאות בעיקר בשלב הבדיקה.,Neutral,Neutral
390,There is a population out there that will take advantage of this resource.,These services will get used.,government,entailment,ישנה אוכלוסייה בחוץ שתנצל את המשאב הזה.,שירותים אלה ינוצלו.,Entailment,Entailment
391,"These new agreements described how the sensitivity of information would be defined, how shared information would be protected from dissemination outside the group, and what information could be shared with nonmembers.",Sensitive information can be shared with anyone in or out of the group.,government,contradiction,"הסכמים חדשים אלה תיארו כיצד תוגדר הרגישות של מידע, כיצד מידע משותף יוגן מפני הפצה מחוץ לקבוצה, ואיזה מידע ניתן לשתף עם מי שאינו חבר.",מידע רגיש ניתן לשתף עם כל אחד בתוך או מחוץ לקבוצה.,Contradiction,Contradiction
392,"As a consequence, EPA did not prepare the statements required by the Act.",The EPA didnt prepare statements required by law.,government,entailment,"כתוצאה מכך, ה-EPA לא הכין את ההצהרות הנדרשות על פי החוק.",ה-EPA לא הכין הצהרות הנדרשות על פי חוק.,Entailment,Entailment
393,"they illustrate 1) Decline in revenue share from household sector 2) Increasing, in absolute value, own-price elasticity 3) Increasing substitutability away from postage consumption with computer use 4) Increasing substitutability between postage and telephone consumption.",There is a 42% decline in revenue share from a household sector.,government,neutral,"הם מדגימים 1) ירידה בנתח ההכנסות ממגזר משקי הבית 2) גידול, בערך מוחלט, בגמישות המחיר העצמי 3) הגברת היכולת להחליף בין צריכת דואר לשימוש במחשב 4) הגברת היכולת להחליף בין צריכת דואר לצריכת טלפון.",יש ירידה של 42% בנתח ההכנסות ממגזר משקי הבית.,Neutral,Neutral
394,The second website function supports volunteers who are uncomfortable in a new area of law and need guidance and direction.,The first website function redirects you to the home page.,government,neutral,פונקציית אתר האינטרנט השנייה תומכת במתנדבים שאינם מרגישים בנוח בתחום משפטי חדש וזקוקים להכוונה והדרכה.,פונקציית אתר האינטרנט הראשונה מפנה אותך לדף הבית.,Neutral,Neutral
395,6 It is not uncommon for modern FGD systems to achieve 97 percent utilization of limestone.,It's not uncommon for fdg systems to use 97% limestone,government,entailment,זה לא נדיר שמערכות FGD מודרניות משיגות 97 אחוזי ניצול אבן גיר.,זה לא נדיר שמערכות FGD משתמשות ב-97% אבן גיר,Entailment,Entailment
396,"House of Representatives during the FY2002 Appropriations process, in which the House Appropriations Subcommittee on Commerce, Justice, State, and the Judiciary ",Many representatives believe that other subcommittees would be better suited to the task.,government,neutral,"בית הנבחרים במהלך תהליך התקצוב של שנת הכספים 2002, שבו תת-הוועדה של בית הנבחרים לתקציבים בנושא מסחר, משפט, מדינה ומערכת המשפט ",נציגים רבים מאמינים שוועדות משנה אחרות מתאימות יותר למשימה.,Neutral,Neutral
397,"Programs, however, are allowed to count closed cases for the elderly and for battered women under the following specific programs without financial eligibility information because these Federal programs require that clients be accepted regardless of financial  Title XX Social Security Act, Titles III and IV Older Americans Act, and Violence Against Women Act.",Programs are allowed to count closed cases for the elderly.,government,entailment,"עם זאת, מותר לתוכניות להחשיב תיקים סגורים עבור קשישים ועבור נשים מוכות במסגרת התוכניות הספציפיות הבאות ללא מידע על זכאות פיננסית מכיוון שתוכניות פדרליות אלה דורשות לקבל לקוחות ללא קשר לזכאות פיננסית-חוק הביטוח הלאומי כותרת XX, חוק האמריקאים המבוגרים כותרות III ו-IV, וחוק האלימות נגד נשים.",מותר לתוכניות להחשיב תיקים סגורים של קשישים.,Entailment,Entailment
398,Completing the analysis under 49 U.S.C.,The analysis is four pages long.,government,neutral,השלמת הניתוח תחת 49 U.S.C.,הניתוח הוא באורך ארבעה עמודים.,Neutral,Neutral
