,original_annotator_labels,genre,original_label,pairID,promptID,sentence1,translation1,sentence2,translation2,hebrew_label
181,['contradiction'],slate,contradiction,66580c,66580,Mavens can discern between makers at a glance.,מומחים יכולים להבדיל בין יוצרים במבט חטוף.,No one can tell the difference between makers no matter how long they look at them.,אף אחד לא יכול להבדיל בין יוצרים לא משנה כמה זמן מסתכלים עליהם.,contradiction
182,['entailment'],slate,entailment,123826e,123826,"Also, it offers no long-range solvency plan for Medicare, assumes there won't be a recession, and defers three-fourths of the cuts and revenue-raising measures till Clinton is out of office.","בנוסף, היא לא מציעה תוכנית נזילות לטווח ארוך עבור מדיקר, היא מתבססת על הנחה שלא יהיה מיתון, והיא דוחה שלושת רבעי מהקיצוצים ומאמצעי הגברת הרווח עד שקלינטון יסיים את תפקידו.","The plan is financially irresponsible, and only puts off the inevitable financial fallout for the next president to deal with.","התכנית אינה אחראית מבחינה פיננסית, והיא רק דוחה את הנפילה הפיננסית הבלתי נמנעת לנשיא הבא שיתמודד איתה.",entailment
183,['contradiction'],slate,contradiction,18212c,18212,"Yet investors are acting not simply as if there were only sunny skies ahead but also as if every company, every investment, were going to enjoy the warmth of the sun.","עם זאת, המשקיעים פועלים לא רק כאילו היו רק שמיים בהירים לפנינו, אלא גם כאילו כל חברה, כל השקעה, עומדת ליהנות מחום השמש.",Investors are very pessimistic about the future of companies and investments.,משקיעים פסימיים מאוד לגבי עתיד החברות וההשקעות.,contradiction
184,['neutral'],slate,neutral,28790n,28790,Is the problem now more severe?,האם הבעיה חמורה יותר כעת?,Are your back problems getting worse?,האם בעיות הגב שלך מחמירות?,neutral
185,['contradiction'],slate,contradiction,126198c,126198,Sometimes you get what you pay for.,לפעמים אתה מקבל את מה שאתה משלם עליו.,You can never get what you pay for.,לעולם לא תוכל לקבל את מה שאתה משלם עבורו.,contradiction
186,['contradiction'],slate,contradiction,133699c,133699,That should really stir things up.,זה עתיד לטרוף את הקלפים.,That will not change anything.,זה לא ישנה כלום.,contradiction
187,['contradiction'],slate,contradiction,130199c,130199,This would give both parties a chance to learn about each other.,זה היה נותן לשני הצדדים הזדמנות ללמוד זה על זה.,Efforts to bridge the divide would only lead to more enmity between the two parties.,מאמצים לגשר על הפער רק יובילו לעוינות רבה יותר בין שני הצדדים.,contradiction
188,['contradiction'],slate,contradiction,123430c,123430,I know what I'm talking about tho I may get drunk and act childish socially ...,אני יודע על מה אני מדבר למרות שאני עלול להשתכר ולהתנהג בילדותיות מבחינה חברתית ...,"When I get drunk and act childish, I run around without any clothes on.","כשאני משתכר ומתנהג בילדותיות, אני רץ בלי בגדים.",neutral
189,['neutral'],slate,neutral,22262n,22262,"It feels like a good life, actually.","זה מרגיש כמו חיים טובים, באמת.",Things are perfect right now.,הדברים מושלמים כרגע.,neutral
190,['contradiction'],slate,contradiction,54556c,54556,"Bening plays the scene on a cascade of emotion, so that she really seems to be speaking from a different world.","בנינג משחקת את הסצינה עם טונות של רגש, כך שהיא באמת נראית כאילו היא מדברת מעולם אחר.",Benning's performance is overly grounded and devoid of emotion.,ההופעה של בננינג מקורקעת יתר על המידה ונטולת רגש.,contradiction
191,['neutral'],slate,neutral,4609n,4609,"Duracell, bought by KKR in 1988 for $350 million, was sold to Gillette for $3.","Duracell, שנרכשה על ידי KKR ב-1988 תמורת 350 מיליון דולר, נמכרה ל-Gillette תמורת 3 דולר.",Duracell was upset with their profit loss on KKR.,דורסל היו עצובים על אובדן הרווחים שלהם ב-KKR.,neutral
192,['entailment'],slate,entailment,67891e,67891,"At a higher price, too many customers would walk away.","במחיר גבוה יותר, יותר מדי לקוחות היו הולכים.",Too many customers walk away from a high price,יותר מדי לקוחות מתרחקים ממחיר גבוה,entailment
193,['entailment'],slate,entailment,123297e,123297,"Igave a lecture on the American economy in Tel Aviv, Israel, last month.","נתתי הרצאה על הכלכלה האמריקאית בתל אביב, ישראל, בחודש שעבר.","Last month while I was in Israel, I spoke about the American economy.","בחודש שעבר, בזמן שהייתי בישראל, דיברתי על הכלכלה האמריקאית.",entailment
194,['neutral'],slate,neutral,109365n,109365,And they've distorted the health costs that smokers impose on the government.,והם עיוותו את עלויות הבריאות שמעשנים משיתים על הממשלה.,They have the malicious intent to mislead by giving a false report on the health costs incurred by smokers.,יש להם כוונה זדונית להטעות על ידי מתן דיווח כוזב על עלויות הבריאות שנגרמו ע״י מעשנים.,entailment
195,['neutral'],slate,neutral,108396n,108396,"This assault, in turn, helped reignite the PUK's war with the KDP.","התקיפה הזאת, בתורה, עזרה להצית מחדש את המלחמה של ה-PUK עם ה-KDP.",The assault was brutal but necessary.,התקיפה הייתה ברוטלית אבל הכרחית.,neutral
196,['contradiction'],slate,contradiction,53049c,53049,The rebuttal authors note still other problems in the original paper.,מחברי התגובה מציינים בעיות נוספות במאמר המקורי.,There are still other problems in the original paper according to the editors.,ישנן עדיין בעיות נוספות במאמר המקורי לפי העורכים.,neutral
197,['neutral'],slate,neutral,24233n,24233,What a heartwarming story!,איזה סיפור מחמם את הלב!,The story made people smile and laugh.,הסיפור גרם לאנשים לחייך ולצחוק.,neutral
198,['contradiction'],slate,contradiction,65362c,65362,That was a satisfying moment.,זה היה רגע מספק.,That experience sucked.,החוויה הזאת הייתה מחורבנת.,contradiction
199,['contradiction'],slate,contradiction,143252c,143252,"Caveat emptor, indeed.","אזהרה לקונים, אכן. ",It's in no way a caveat emptor.,זה בשום פנים ואופן לא אזהרה לקונים.,contradiction
200,['contradiction'],slate,contradiction,59709c,59709,Growing American investment in Japan may soon lead to a confrontation with the Japanese gangs.,השקעה אמריקאית הולכת וגדלה ביפן עשויה להוביל בקרוב לעימות עם הכנופיות היפניות.,Japanese gangs welcome and encourage American investment.,כנופיות יפניות מקבלות בברכה ומעודדות השקעות אמריקאיות.,contradiction
201,['entailment'],slate,entailment,144979e,144979,"Hospitals could hire more residents, but that would increase our physician glut.","בתי חולים יכלו לשכור יותר רופאים מתמחים, אבל זה היה מגדיל את עודף הרופאים שלנו.",Our physical glut would go up if hospitals were able to hire more residents.,העודף הפיזי שלנו היה עולה אם בתי החולים היו יכולים לשכור עוד רופאים מתמחים.,entailment
202,['contradiction'],slate,contradiction,51115c,51115,"In their view, that would have helped.","לדעתם, זה היה עוזר.",They believe that nothing would have changed the outcome.,הם מאמינים ששום דבר לא היה משנה את התוצאה.,contradiction
203,['neutral'],slate,neutral,81609n,81609,Reconstructing the key requires the cooperation of each holder.,שחזור המפתח מחייב את שיתוף הפעולה של כל מחזיק.,Reconstructing the key is impossible if they don't work together.,שחזור המפתח בלתי אפשרי אם הם לא יעבדו יחד.,entailment
204,['neutral'],slate,neutral,126769n,126769,"The smallest of the major tobacco companies, the Liggett Group, agreed to a settlement with attorneys general from 22 states who had sued to recoup money spent on health care for smokers.","הקטנה מבין חברות הטבק הגדולות, קבוצת ליגט, הסכימה להסדר עם היועצים המשפטיים של 22 מדינות שתבעו החזרת כספים שהוצאו על שירותי בריאות למעשנים.",Alaska was one of the states that had sued to recoup money spent on health care for smokers.,אלסקה הייתה אחת המדינות שתבעו השבת כספים שהוצאו על טיפול רפואי למעשנים.,neutral
205,['neutral'],slate,neutral,4983n,4983,"At one point, Kodak appeared to be making that effort.","בשלב מסוים, קודאק נראתה כאילו היא עושה את המאמץ הזה.","Kodak was trying, but they gave up because it's too expensive.","קודאק ניסו, אבל הם ויתרו כי זה יקר מדי.",neutral
206,['neutral'],slate,neutral,51692n,51692,"Nehring says it's mainly a codification of the 1988 Supreme Court decision, and wouldn't put much more burden on unions to prove they've got members' permission to spend money on political causes.","נירינג אומר שזה בעיקר קודיפיקציה של החלטת בית המשפט העליון מ-1988, ולא היה שם הרבה יותר נטל על איגודים להוכיח שיש להם את רשות החברים להוציא כסף על מטרות פוליטיות.",The 1988 Supreme Court Decision was in relationship to unions.,החלטת בית המשפט העליון משנת 1988 הייתה ביחס לאיגודים.,neutral
207,['contradiction'],slate,contradiction,75797c,75797,"Vocation began here--the story of two frogs,","כאן החל הייעוד - סיפורם של שני צפרדעים,",It was a tale of two goats.,זה היה סיפור על שני תיישים.,contradiction
208,['contradiction'],slate,contradiction,2988c,2988,just as he created a camel to be a camel.,בדיוק כפי שהוא ברא גמל כדי שיהיה גמל.,The camel was created to be more than a camel.,הגמל נברא כדי להיות יותר מגמל.,contradiction
209,['neutral'],slate,neutral,4374n,4374,"OK, bad example.","בסדר, דוגמה גרועה.",It is a bad example.,זו דוגמה רעה.,entailment
210,['entailment'],slate,entailment,7251e,7251,"They say that the police mishandled the crime scene , allowing John Ramsey to search the house, and point out that the police let the couple leave town for several weeks prior to questioning them.","הם אומרים שהמשטרה טיפלה בצורה גרועה בזירת הפשע, ואפשרה לג'ון רמזי לחפש בבית, ומציינים שהמשטרה אפשרה לזוג לעזוב את העיר לכמה שבועות לפני שחקרו אותם.",The crime scene was mishandled and the Ramsey's left town before they could be questioned.,זירת הפשע טופלה בצורה גרועה והזוג רמזי עזבו את העיר לפני שיכלו להיחקר.,entailment
211,['contradiction'],slate,contradiction,102354c,102354,Sites have their privacy policies (has anyone ever read one of them?),לאתרים יש את מדיניות הפרטיות שלהם (האם מישהו אי פעם קרא אחד מהם?),Web sites have no messages or policies regarding the usage of your data.,לאתרי אינטרנט אין הודעות או מדיניות לגבי השימוש בנתונים שלך.,contradiction
212,['neutral'],slate,neutral,87596n,87596,And Tice was onto Sunbeam before almost anyone else.,וטאיס עלה על התוכנית של סנבים לפני כל האחרים כמעט.,Tice knew Sunbeam was working on a scam.,טאיס ידע שסנבים עבד על הונאה.,neutral
213,['entailment'],slate,entailment,19350e,19350,The second side is interpreting the attitude and behavior of other people toward oneself as civil.,הצד השני זה לפרש את היחס וההתנהגות של אנשים אחרים כלפי עצמם כמשהו מנומס.,Another side is about seeing the behavior of other people as civil.,צד אחר הוא לראות את ההתנהגות של אנשים אחרים כמשהו מנומס.,entailment
214,['contradiction'],slate,contradiction,95530c,95530,Prostitution is legal in Vegas.,זנות היא חוקית בלאס וגאס.,Prostitution is illegal and punishable by up to 30 years in prison in Las Vegas for both the prostitute and customer.,זנות היא בלתי חוקית ועונשה עד 30 שנות מאסר בלאס וגאס הן לזונה והן ללקוח.,contradiction
215,['neutral'],slate,neutral,121922n,121922,"Duhame, who today makes her living as a graphic designer and illustrator, calls her book (in French) The Bird of Philosophy . The title was inspired by one of Deleuze's cryptic  Don't you think that philosophy is as pretty as a bird's name?","דוהאם, שמתפרנסת כיום כמעצבת גרפית ומאיירת, מכנה את ספרה (בצרפתית) ״ציפור הפילוסופיה״. הכותרת הושפעה מאחת האמירות הקריפטיות של דלז ""האם אינך חושב שפילוסופיה היא יפה כמו שם של ציפור?""","She had the title of the book, even before any writing began.","היה לה את שם הספר, עוד לפני שהתחילה לכתוב.",neutral
216,['neutral'],slate,neutral,135622n,135622,"Writing novels, performing surgery, preparing a light and elegant souffle--each must be done without rousing declamation.","כתיבת רומנים, ביצוע ניתוחים, הכנת סופלה קל ואוורירי - כל אלה חייבים להיעשות ללא דקלומים מעוררי השראה.","You should be peaceful and quiet writing novels, performing surgery, and preparing light meals.","עליך להיות שלו ורגוע בכתיבת נובלות, בביצוע ניתוחים ובהכנת ארוחות קלות. ",neutral
217,['contradiction'],slate,contradiction,81318c,81318,The tranquilizer took a few minutes to take effect.,לחומר ההרגעה לקח כמה דקות עד שהתחיל להשפיע.,The tranquilizer was administered and registered no response.,חומר ההרגעה ניתן ולא נרשמה תגובה.,contradiction
218,['contradiction'],slate,contradiction,99381c,99381,Those don't work anyway.,אלה בכל מקרה לא עובדים.,Those work well.,אלה עובדים טוב.,contradiction
219,['neutral'],slate,neutral,108219n,108219,"The introduction of what you call the race card is appropriate, seeing that the deck is obviously stacked because of your friend's color.","הנחת קלף הגזע, כפי שאתה מכנה אותו, היא הולמת, בהתחשב בכך שהחפיסה מסודרת בגלל צבעו של חברך.",Your elderly friend is entitled to using the race card in this situation.,החבר המבוגר שלך זכאי להשתמש בקלף הגזע בסיטואציה הזאת.,neutral
220,['contradiction'],slate,contradiction,16532c,16532,"Predictably, IGRA has come under fire from all directions.","כצפוי, IGRA נקלעה לאש מכל הכיוונים.",IGRA is touted as a perfect solution.,IGRA משווקת כפתרון מושלם.,contradiction
221,['contradiction'],slate,contradiction,116528c,116528,Even the initial 20 anti-missiles slated for Alaska would violate this pact due to their nationwide coverage.,אפילו 20 טילי הנ״ט הראשונים שיועדו לאלסקה היו מפרים את ההסכם הזה בגלל הכיסוי הכלל-ארצי שלהם.,The pact will not be violated by this event.,האירוע הזה לא יפר את ההסכם.,contradiction
222,['contradiction'],slate,contradiction,135328c,135328,Here's one typical posting from Jan.,הנה פרסום אחד טיפוסי של ג'ן.,This is not a typical sample post from Jan.,זו לא דוגמה טיפוסית לפרסום של ג'ן.,contradiction
223,['neutral'],slate,neutral,58882n,58882,Dow Chemical will buy rival Union Carbide.,״דאו כמיקל״ תרכוש את יריבתה ״יוניון קרבייד״.,Dow Chemical are buying Union Carbide next year.,״דאו כמיקל״ רוכשת את ״יוניון קרבייד״ בשנה הבאה.,neutral
224,['contradiction'],slate,contradiction,66069c,66069,"Gut Symmetries , by Jeanette Winterson (Knopf).","״סימטריות מעיים״, מאת ג'נט וינטרסון (קנופף).",Jeanette Winterson had nothing to do with the making of Gut Symmetries.,ג'נט וינטרסון לא הייתה מעורבת ביצירת ״סימטריות מעיים״.,contradiction
225,['entailment'],slate,entailment,66290e,66290,Death brings at least an end to those troublesome appetites and may open the way to something better--he doesn't say what.,מוות מביא לפחות לסופן של התשוקות המטרידות האלה ועשוי לסלול את הדרך למשהו טוב יותר - הוא לא אומר מה.,Death ends troubles but opened up something better and unknown.,המוות מסיים צרות אך פותח משהו טוב יותר ולא ידוע.,entailment
226,['entailment'],slate,entailment,43226e,43226,"His refusal to be sensitive got him in trouble in 1996, the year before he died.","הסירוב שלו להיות רגיש הכניס אותו לצרות ב-1996, שנה לפני מותו.",He died just a year after refusing sensitivity in 1996.,הוא מת שנה לאחר שסירב להיות רגיש ב-1996.,entailment
227,['entailment'],slate,entailment,80455e,80455,They think Gates is stepping down-contrary to Ballmer's insistence that Gates is stepping up to his new job-in hopes of appeasing Justice Department warriors who want Gates' head.,הם חושבים שגייטס פורש - בניגוד להתעקשותו של בלמר שגייטס מתקדם לתפקידו החדש - בתקווה לפייס את לוחמי משרד המשפטים שרוצים את ראשו של גייטס.,Gates is in hot water with the Justice Department.,גייטס נמצא בצרות עם משרד המשפטים.,entailment
228,['entailment'],slate,entailment,124073e,124073,He is able to see that scholars have been covering up the crimes of the artist to protect him from justice.,הוא מסוגל לראות שמלומדים טייחו את פשעי האמן כדי להגן עליו ממשפט.,Scholars have been covering up the crimes of the artist.,מלומדים טייחו את פשעי האמן.,entailment
229,['neutral'],slate,neutral,63362n,63362,"The  wakeboarding, actor Vince Vaughn, the state of New Mexico (Roswell, Georgia O'Keeffe), roller coasters.","ווייקבורדינג, השחקן וינס ווהן, מדינת ניו מקסיקו (רוזוול, ג'ורג'יה אוקיף), רכבות הרים.",These elements are being combined in a movie.,אלמנטים אלה משולבים בסרט.,neutral
230,['entailment'],slate,entailment,95463e,95463,"They were writers, and therefore in a position to arrange their own schedules, correct?","הם היו סופרים, ולכן היו בעמדה לארגן את לוחות הזמנים שלהם בעצמם, נכון?","They design their own hours, since they are writers?",הם מתכננים את השעות שלהם בעצמם מאחר שהם סופרים?,entailment
231,['entailment'],slate,entailment,21200e,21200,"According to Helen Lawrenson, a former Vanity Fair editor and Johnson's self-proclaimed ex-lover, this is a romantic view of him.","על פי הלן לורנסון, עורכת לשעבר ב-Vanity Fair והמאהבת המוצהרת לשעבר של ג'ונסון, זו ראייה רומנטית שלו.",Helen Lawrenson is a former editor of Vanity Fair and an ex-lover of Johnson.,הלן לורנסון היא עורכת לשעבר של Vanity Fair ומאהבת לשעבר של ג'ונסון.,entailment
232,['neutral'],slate,neutral,49999n,49999,"The book's plot (about a man's anonymous love letters to his girlfriend) is said to be trite, and the ending is called a cop out.","עלילת הספר (על מכתבי האהבה האנונימיים של גבר לחברתו) כונתה נדושה, וסופה כונה מתחמק.",The plot of the book was considered trite by the New York Times.,עלילת הספר נחשבה נדושה על ידי הניו יורק טיימס.,neutral
233,['entailment'],slate,entailment,31656e,31656,"Find me a find, catch me a cat.","מצא לי מציאה, תתפוס לי חתול.",Find me a find and catch me a cat.,מצא לי מציאה ותפוס לי חתול.,entailment
234,['contradiction'],slate,contradiction,38863c,38863,"Throughout the story of Brian Arthur's travails, people make the kind of dramatic, pithy remarks that almost never get uttered in real life.","לאורך הסיפור על תלאותיו של בריאן ארתור, אנשים נותנים את סוג ההערות הדרמטיות והקולעות שכמעט אף פעם לא נשמעות בחיים האמיתיים.","There are no pithy, dramatic remarks in the story of Brian Arthur's travails.",אין הערות דרמטיות ותמציתיות בסיפור על תלאותיו של בריאן ארתור.,contradiction
235,['entailment'],slate,entailment,82212e,82212,Rothko's journey into literal and figurative darkness left behind a shimmering trail of canvases that mark for many people the high-water mark of spiritual beauty and emotion in modern art.,מסעו של רוטקו לחושך המילולי והפיגורטיבי הותיר אחריו שובל נוצץ של קנבסים המסמנים עבור אנשים רבים את סימן המים הגבוהים של היופי הרוחני והרגש באמנות המודרנית.,Rothko left a lasting impression on many through his art.,רוטקו השאיר רושם מתמשך על רבים באמצעות האמנות שלו.,entailment
236,['neutral'],slate,neutral,86126n,86126,For what Grove has done exceptionally well is manage.,כי מה שגרוב עשה בצורה יוצאת מן הכלל הוא ניהול.,What Grove has done exceptionally well is manage because he is a natural at it.,מה שגרוב עשה בצורה יוצאת מן הכלל הוא ניהול כי הוא מוכשר בזה באופן טבעי.,neutral
237,['contradiction'],slate,contradiction,131122c,131122,The overlapping dialogue and squealing Cuban-African music heard over tinny-sounding radios seems meant to induce a migraine to accompany the seasickness.,"הדיאלוג החופף והמוזיקה הקובנית-אפריקאית הצורמת שנשמעת מתוך מקלטי רדיו בעלי צליל מתכתי, נשמעים כאילו נועדו לגרום למיגרנה שתלווה את מחלת הים.",The jazz band was playing migraine inducing Jamaican music.,להקת הג'אז ניגנה מוזיקת ג׳מייקנית שגורמת למיגרנות.,contradiction
238,['neutral'],slate,neutral,143937n,143937,Lamar Alexander's campaign never got off the ground because the American people can recognize a phony ().,הקמפיין של למאר אלכסנדר מעולם לא התרומם כי העם האמריקאי יכול לזהות אדם מזויף ().,He resigned in disgrace after he was arrested.,הוא התפטר בבושת פנים לאחר שנעצר.,neutral
239,['contradiction'],slate,contradiction,42818c,42818,"Many responses pivoted on the amusing contrast between uptown swells and downtown schlubs, but this reliable device, the mighty comic engine that generated so many terrific Depression-era comedies and dimwitted Lampoon movies--Snobs vs.","תגובות רבות נסובו סביב הניגוד המשעשע בין סנובים מהאפטאון לבין לוזרים מהדאונטאון, אבל האמצעי האמין הזה, המנוע הקומי העוצמתי שהוליד כל כך הרבה קומדיות נפלאות מתקופת השפל הגדול וסרטי למפון מטומטמים - סנובים נגד ",There was no visible difference between the uptown and downtown.,לא היה הבדל נראה לעין בין האפטאון לבין דאונטאון.,contradiction
240,['contradiction'],slate,contradiction,105110c,105110,A correction in this space on Saturday omitted mention of the rabbit.,תיקון במדור זה בשבת השמיט את אזכור הארנב.,The only thing the correction gave reference to was the rabbit.,הדבר היחיד שהתיקון התייחס אליו היה הארנב.,contradiction
241,['neutral'],slate,neutral,580n,580,"First argued in 1974 by French thinker Marc Dem in his Les Juifs de L'espace , this thesis holds that Jews are ultimately space aliens, and that that explains their, um, difficult history.","הטיעון הראשון הוצג בשנת 1974 על ידי ההוגה הצרפתי מארק דם בספרו Les Juifs de L'espace, תזה זו גורסת שיהודים הם בסופו של דבר חייזרים מהחלל, וזה מסביר את ההיסטוריה ה...בעייתית שלהם.",The French thinker was very narrow minded.,ההוגה הצרפתי היה צר אופקים מאוד.,neutral
242,['entailment'],slate,entailment,57941e,57941,"As Chatterbox pointed out in his earlier item, movie tickets are fundamentally inexpensive , so you aren't going to lure many more people into seeing, say, Eyes Wide Shut by slashing the already low price of first-run admission.","כפי שצ'טרבוקס ציין באייטם הקודם שלו, כרטיסי קולנוע הם זולים באופן מהותי, כך שלא תפתה הרבה יותר אנשים לראות, נניח, את ״עיניים עצומות לרווחה״ על ידי קיצוץ במחיר הנמוך ממילא של כניסה להקרנה ראשונה.",Chatterbox said movie tickets are pretty cheap.,צ'טרבוקס אמר שמחירי כרטיסי קולנוע זולים למדי.,entailment
243,['contradiction'],slate,contradiction,74205c,74205,"Why, it even runs pages entitled Solutions.",זה אפילו מריץ דפים שכותרתם פתרונות.,It has no pages called Solutions.,אין בזה עמודים שנקראים פתרונות.,contradiction
244,['neutral'],slate,neutral,109992n,109992,"A conceit this fragile needs to whiz along to keep our disbelief in suspension, but Meet Joe Black grinds on for three hours (longer than either Beloved or Saving Private Ryan ), and Pitt acts as if he has leased the screen by the year.","יהירות כה שבירה צריכה לחלוף במהירות כדי לשמור על חוסר האמונה שלנו במתח, אבל ״לפגוש את ג'ו בלאק״ נמשך שלוש שעות (יותר מ""אהובה"" או ""להציל את טוראי ריאן""), ופיט מתנהג כאילו הוא שכר את המסך לשנה.",The character of death in this movie was not very well fleshed out.,דמות המוות בסרט הזה לא הייתה מפותחת מספיק.,neutral
245,['neutral'],slate,neutral,102920n,102920,But the rest is just a cat-and-mouse game for a rather slow-witted cat and an even slower-witted mouse.,"אבל כל השאר הוא רק משחק חתול ועכבר, שבו החתול טיפש והעכבר טיפש אף יותר.",And the rest is a slow-witted cat and mouse game between the husband and wife.,ושאר הסיפור הוא משחק חתול ועכבר טיפשי בין הבעל לאישה.,neutral
246,['contradiction'],slate,contradiction,73264c,73264,"When the data contradict his theory, a pollster knows what he must  Dump the data.","כאשר הנתונים סותרים את התיאוריה שלו, הסוקר יודע מה עליו לעשות - לזרוק את הנתונים.","All theories are supported by their complete, unbiased, unabridged data.","כל התיאוריות נתמכות על ידי הנתונים השלמים, האובייקטיביים והמלאים שלהם.",contradiction
247,['neutral'],slate,neutral,7124n,7124,Bob Barr is the 1998 Orville Faubus.,בוב באר הוא אורוויל פאובוס של 1998.,Bob Barr is playing a role in a play of Orville faubus,בוב באר משחק תפקיד במחזה של אורוויל פאובוס,neutral
248,['neutral'],slate,neutral,115968n,115968,"There are periods in which the work fades into hermeticism; there are periods when it aspires to a lyric summing up, as in the four Seasons (1986), in which the shadow of the artist is projected onto a sequence of Johnsian montages.","ישנן תקופות שבהן העבודה דועכת להרמטיציזם; ישנן תקופות שבהן היא שואפת לסכום לירי, כמו בארבע העונות (1986), שבהן צל האמן מוקרן על רצף של מונטאז'ים ג'ונסיאנים.",The four seasons was widely regarded as terrible.,ארבע העונות נחשב בציבור לגרוע,neutral
249,['contradiction'],slate,contradiction,102500c,102500,The model rules explicitly reject virtually everything Feige said in his Gist piece.,כללי המודל דוחים במפורש כמעט כל דבר שפייג אמר בכתבה שלו בג'יסט.,The model rules are very accepting of the Gist piece by Feige.,כללי המודל מסכימים עם הכתבה בג'יסט מאת פייג'.,contradiction
250,['entailment'],slate,entailment,57950e,57950,"The New York Times , however, pursues the revisionist line.","הניו יורק טיימס, לעומת זאת, ממשיך בקו הרביזיוניסטי.",The revisionist line is pursued by the New York Times.,הניו יורק טיימס ממשיך בנקיטת קו רביזיוניסטי.,entailment
251,['neutral'],slate,neutral,51277n,51277,"And still more unusual, he was not concerned with the follies and foibles of everyday life, that least interesting comic subject, but something deeper, darker, and less ephemeral.","ועוד יותר יוצא דופן, הוא לא היה עסוק בשטויות ובמוזרויות של חיי היומיום, הנושא הקומי הכי פחות מעניין, אלא במשהו עמוק יותר, אפל יותר, וארעי פחות.","He is considered to be an introvert, being silent most of the time.","הוא נחשב לאדם מופנם, והוא שותק רוב הזמן. ",neutral
252,['contradiction'],slate,contradiction,116435c,116435,"Nemesis Hunt refutes the slack-jawed Novak, with the computation that 5 + 4 = 9 and therefore half of Starr's deputies are not current DOJ employees.","נמסיס האנט מפריך את נובאק שמוט הלסת, עם החישוב ש- 4+5=9 ולכן מחצית מסגניו של סטאר אינם עובדי משרד המשפטים הנוכחיים.",One hundred percent of Starr's men are on the DOJ.,מאה אחוז מאנשיו של סטאר נמצאים במשרד המשפטים.,contradiction
253,['neutral'],slate,neutral,109011n,109011,"The Barbarians, in short, are at the gate--and conspiring against us.","הברברים, בקיצור, נמצאים בשער - וקושרים קשר נגדנו.","The Barbarians are blocking the gate, hindering our escape and plotting for our demise.","הברברים חוסמים את השער, מונעים את בריחתנו ומתכננים את מותנו.",neutral
254,['entailment'],slate,entailment,97165e,97165,"(What does 'certified' mean, Ickes responded to Klayman, other than 'crazy'?","(מה פירוש 'מוסמך', השיב איקס לקליימן, מלבד 'משוגע'?",Ickes was talking to Klayman.,איקס דיבר עם קליימן.,entailment
255,['contradiction'],slate,contradiction,50394c,50394,What's frustrating about all this is that the moment when a company goes public is when the stock market should function most efficiently.,"מה שמתסכל בכל זה הוא שברגע שחברה מונפקת לציבור, זה הזמן שבו שוק המניות אמור לפעול ביעילות הגבוהה ביותר.",The stock market shouldn't be efficient at all when a company goes public.,שוק המניות לא צריך להיות יעיל בכלל כאשר חברה יוצאת להנפקה.,contradiction
256,['contradiction'],slate,contradiction,93131c,93131,"I suspect I know the answers to these questions, and I suspect Mr. Shuger does as well.","אני חושד שאני יודע את התשובות לשאלות האלה, ואני חושד שגם מר שוגר יודע.",I don't really know how to answer that to you.,אני לא ממש יודע איך לענות לך על זה.,contradiction
257,['contradiction'],slate,contradiction,130535c,130535,But even a fuzzy and occasionally failed standard would be an improvement on the ad hoc and random decisions we make now.,אבל אפילו סטנדרט מעורפל וכושל מדי פעם יהיה שיפור לעומת ההחלטות האד-הוקיות והאקראיות שאנחנו מקבלים עכשיו.,"Our decisions are currently based on a standard, and we do not make random decisions.","ההחלטות שלנו מתבססות כעת על סטנדרטים, ואנחנו לא מקבלים החלטות אקראיות.",contradiction
258,['entailment'],slate,entailment,15804e,15804,Nor is Clinton's blend of realism and idealism necessarily corrupt.,גם תערובת הריאליזם והאידיאליזם של קלינטון אינה בהכרח מושחתת.,Clinton's blend of realism and idealism is fair.,שילוב הריאליזם והאידיאליזם של קלינטון הוגן.,neutral
259,['neutral'],slate,neutral,131593n,131593,Dolly is more of a media magnet than her unnamed fibroblast-derived cousins because she came from adult tissue.,דולי היא מגנט מדיה יותר מבנות דודיה שמקורן בפיברובלסטים שלא נקראו בשם כי היא הגיעה מרקמה בוגרת.,Dolly's two unnamed cousins are sisters.,שתי בנות דודיה חסרות השם של דולי הן אחיות.,neutral
260,['neutral'],slate,neutral,74936n,74936,", I'm with you (thought I must admit Merchant of Venice ain't my all-time favorite.",", אני איתך (אף על פי שאני חייב להודות ש״הסוחר מוונציה״ הוא לא הפייבוריט שלי בכל הזמנים.","I agree, even though the Merchant of Venice isn't an all-time favorite because of how long it is.","אני מסכים, למרות ש״הסוחר מוונציה״ הוא לא פייבוריט כל הזמנים בגלל האורך שלו. ",neutral
261,['contradiction'],slate,contradiction,1417c,1417,People who are attractively slim do not talk about the ugliness of obesity in the presence of people who are grossly overweight.,אנשים רזים ומושכים לא מדברים על כיעורה של השמנת יתר בנוכחות אנשים הסובלים מעודף משקל רב.,All slim people bash obesity in front of overweight people.,כל האנשים הרזים מדברים בגנות השמנת יתר בפני אנשים בעלי עודף משקל.,contradiction
